Name
Square Pharmaceuticals Ltd.
Beximco Pharmaceuticals Ltd.
Incepta Pharmaceuticals Ltd.
Renata Limited
Opsonin Pharma Limited
Eskayef Pharmaceuticals Ltd.
ACI Limited
ACME Laboratories Ltd.
Healthcare Pharmaceuticals Ltd.
Drug International Ltd.
Ibn Sina Pharmaceutical Ind. Ltd.
Aristopharma Ltd.
Popular Pharmaceuticals Ltd.
General Pharmaceuticals Ltd.
Radiant Pharmaceuticals Ltd.
Nuvista Pharma Ltd.
Beacon Pharmaceuticals Ltd.
Globe Pharmaceuticals Ltd.
Sanofi Bangladesh Limited
Novartis (Bangladesh) Limited
GlaxoSmithKline Bangladesh Limited
Roche Bangladesh Ltd.
Pfizer (Bangladesh) Ltd.
AstraZeneca Bangladesh
Orion Pharma Ltd.
Navana Pharmaceuticals Ltd.
Jayson Pharmaceuticals Ltd.
Sharif Pharmaceuticals Ltd.
Apex Pharma Ltd.
Delta Pharma Ltd.
Kemiko Pharmaceuticals Ltd.
Silva Pharmaceuticals Ltd.
Pacific Pharmaceuticals Ltd.
White Horse Pharmaceuticals Ltd.
Rephco Pharmaceuticals Ltd.
Techno Drugs Ltd.
Alco Pharma Ltd.
Ambee Pharmaceuticals Ltd.
Bio Pharma Laboratories Ltd.
Central Pharmaceutical Ltd.
City Overseas Pharmaceuticals
Concord Pharmaceuticals Ltd.
Cosmic Pharma Ltd.
Decent Pharma Ltd.
Doctor's Chemicals Works Ltd.
Edruc Pharmaceuticals Ltd.
Elixir Pharmaceuticals Ltd.
Essential Drugs Company Ltd.
Ethical Drug Industries Ltd.
Euro Pharma Ltd.
Everest Pharmaceuticals Ltd.
Fortune Pharmaceuticals Ltd.
Genetica Pharmaceuticals Ltd.
Global Pharmaceuticals Ltd.
Gonoshasthaya Pharmaceuticals Ltd.
Hallmark Pharmaceuticals Ltd.
Hamdard Laboratories (WAQF) Bangladesh
Hefzul Hayat Unani Laboratories
Huq Laboratories Ltd.
Impress Pharma Ltd.
Index Pharmaceuticals Ltd.
Julphar Bangladesh Ltd.
Kazi Farms Pharmaceuticals
Labaid Pharmaceuticals Ltd.
Libra Pharmaceuticals Ltd.
Modern Pharmaceuticals Ltd.
Monno Pharma Ltd.
MX Pharmaceuticals
Mystic Pharmaceuticals Ltd.
Naafco Pharma Ltd.
Nipro JMI Pharma Ltd.
Novo Healthcare & Pharma Ltd.
Nipa Pharmaceuticals Ltd.
Pharmacia Ltd.
Pharmadesh Laboratories Ltd.
Physician Pharma Ltd.
Pioneer Pharma Ltd.
Pro-Lab Pharmaceuticals Ltd.
Radicura Pharmaceuticals Ltd.
Rangs Pharmaceuticals Ltd.
Reman Drug Laboratories Ltd.
Saintfresh Agro Herbal Ltd.
Salvo Chemical Industries Ltd.
Sana Pharmaceuticals Ltd.
Sandhani Life Saving Drugs
Saydur Rahman & Company
SM Pharmaceuticals Ltd.
Social Marketing Company
Sonali Life Sciences
Syntho Laboratories Ltd.
The ACME Agrovet & Beverages Ltd.
Time Pharmaceuticals Ltd.
Titash Pharmaceuticals Ltd.
Unimed & Unihealth Manufacturers Ltd.
Union Pharma Ltd.
United Pharmaceuticals Ltd.
Veritas Pharmaceuticals Ltd.
Ziska Pharmaceuticals Ltd.
