Name,Generic Name,Category,Manufacturer,Unit,Tax Applicable
Napa 500mg,Paracetamol,Analgesic,Beximco Pharmaceuticals Ltd.,strip,No
Napa Extra,Paracetamol + Caffeine,Analgesic,Beximco Pharmaceuticals Ltd.,strip,No
Ace 500mg,Paracetamol,Analgesic,Square Pharmaceuticals Ltd.,strip,No
Ace Plus,Paracetamol + Caffeine,Analgesic,Square Pharmaceuticals Ltd.,strip,No
Seclo 20mg,Omeprazole,Antacid,Square Pharmaceuticals Ltd.,strip,No
Losectil 20mg,Omeprazole,Antacid,Beximco Pharmaceuticals Ltd.,strip,No
Maxpro 20mg,Esomeprazole,Antacid,Renata PLC,strip,No
Sergel 20mg,Esomeprazole,Antacid,Healthcare Pharmaceuticals Ltd.,strip,No
Zimax 250mg,Azithromycin,Antibiotic,Square Pharmaceuticals Ltd.,strip,No
Azith 500mg,Azithromycin,Antibiotic,Beximco Pharmaceuticals Ltd.,strip,No
Cef-3 200mg,Cefixime,Antibiotic,Square Pharmaceuticals Ltd.,strip,No
Ceftron 200mg,Cefixime,Antibiotic,Renata PLC,strip,No
Ciprocin 500mg,Ciprofloxacin,Antibiotic,Square Pharmaceuticals Ltd.,strip,No
Neofloxin 500mg,Ciprofloxacin,Antibiotic,Incepta Pharmaceuticals Ltd.,strip,No
Monas 10mg,Montelukast,Anti-asthmatic,Square Pharmaceuticals Ltd.,strip,No
Montair 10mg,Montelukast,Anti-asthmatic,Incepta Pharmaceuticals Ltd.,strip,No
Fexo 120mg,Fexofenadine,Antihistamine,Square Pharmaceuticals Ltd.,strip,No
Histafree 120mg,Fexofenadine,Antihistamine,Beximco Pharmaceuticals Ltd.,strip,No
Losartan 50mg,Losartan,Antihypertensive,Square Pharmaceuticals Ltd.,strip,No
Azor 50mg,Losartan,Antihypertensive,Beximco Pharmaceuticals Ltd.,strip,No
Amlodipine 5mg,Amlodipine,Antihypertensive,Square Pharmaceuticals Ltd.,strip,No
Amlo 5mg,Amlodipine,Antihypertensive,Renata PLC,strip,No
Metform 500mg,Metformin,Antidiabetic,Square Pharmaceuticals Ltd.,strip,No
Comet 500mg,Metformin,Antidiabetic,Renata PLC,strip,No
Glipid 80mg,Gliclazide,Antidiabetic,Square Pharmaceuticals Ltd.,strip,No
Daonil 5mg,Glibenclamide,Antidiabetic,Sanofi,strip,No
Antacid Plus,Aluminum + Magnesium,Antacid,Square Pharmaceuticals Ltd.,bottle,No
Gaviscon,Sodium Alginate,Antacid,Reckitt,bottle,No
Pepto-Bismol,Bismuth Subsalicylate,Antidiarrheal,P&G,bottle,No
ORS Saline,Oral Rehydration Salt,Electrolyte,SMC,sachet,No
